respondent_id,age_group,tech_comfort,education_level,primary_device,password_manager_use,mfa_method,phishing_awareness_training,privacy_settings_level,public_wifi_use,backup_frequency,software_update_habit,adblocker_installed,antivirus_status,password_reuse_count,unique_passwords_estimate,suspicious_link_clicks_last_6mo,privacy_habit_score_0_100,cyber_risk_score_0_100,experienced_security_incident_last_12mo,wants_simple_non_technical_guides_1_10,wants_habit_reminders_1_10,trust_in_online_safety_advice_1_10,feels_overwhelmed_by_cyber_advice_1_10,likely_to_use_habit_platform_1_10
U677134,55-64,Medium,Graduate,Windows PC,Never,Hardware key,Occasionally,Mostly hardened,Never,Monthly,When reminded,Yes,Built-in only,4,9.0,2.0,79.0,62.4,No,7,7,6,8,4.1
U764727,18-24,Low,Bachelor's,Mac,Regularly,None,Never,Default,Rarely,Never,Delayed,No,,4,9.0,3.0,37.0,87.2,Yes,9,8,7,8,5.6
U964448,35-44,Medium,HS or less,iPhone,Sometimes,SMS,Once,Some changes,Rarely,Monthly,When reminded,No,None,2,12.0,3.0,42.0,59.9,Yes,8,7,7,6,5.2
U720049,25-34,Low,HS or less,Windows PC,Never,None,Never,Default,Sometimes,Never,Delayed,No,Built-in only,2,5.0,,25.0,84.6,No,8,9,5,9,4.0
U652019,35-44,Low,Some college,Windows PC,Never,Authenticator app,Once,Some changes,Rarely,Monthly,When reminded,Yes,None,4,8.0,5.0,63.0,78.7,Yes,7,6,5,7,2.9
U922015,35-44,Medium,HS or less,Android,Tried once,Authenticator app,Once,Some changes,Never,Never,When reminded,Yes,None,4,8.0,3.0,45.0,69.2,No,7,10,6,8,4.6
U320992,25-34,High,Bachelor's,Android,Regularly,SMS,Occasionally,Some changes,Often,Never,Delayed,Yes,Paid suite,2,14.0,3.0,54.0,68.6,Yes,6,6,8,5,5.5
U814159,18-24,High,HS or less,iPhone,Sometimes,Authenticator app,Never,Some changes,Sometimes,Daily,Auto-update,No,None,3,9.0,,34.0,72.6,No,4,5,6,6,2.0
U357698,35-44,Low,Some college,Windows PC,Regularly,None,Occasionally,Default,Rarely,Monthly,Delayed,No,Built-in only,6,10.0,2.0,32.0,86.4,No,9,9,5,7,3.8
U701180,45-54,Medium,Some college,Android,Sometimes,Authenticator app,Once,Default,Never,Weekly,Auto-update,No,None,2,11.0,5.0,25.0,61.8,No,8,6,5,4,4.5
U666771,45-54,Medium,Some college,Android,Tried once,Authenticator app,Occasionally,Default,Never,Never,Delayed,Yes,None,2,6.0,4.0,38.0,68.2,Yes,8,8,4,5,5.0
U285576,35-44,Medium,Graduate,Android,Tried once,SMS,Never,Default,Rarely,Monthly,Delayed,No,None,2,9.0,3.0,32.0,82.0,No,9,9,6,9,5.6
U446577,25-34,Medium,HS or less,Windows PC,Regularly,None,Once,Default,Sometimes,Never,Auto-update,No,Paid suite,2,14.0,4.0,28.0,66.7,Yes,5,6,6,8,3.7
